id,title,content,author,category,published_at,updated_at,is_published
2,Welcome,You are all welcome to the first service of MT. ZION CONGREGATION,Seesay,Message,2026-03-16 22:13:37,2026-03-16 22:13:37,1
3,Todays Program,Todays program will start exactly 10:00am prompt,Seesay,Blog,2026-03-18 08:08:42,2026-03-18 08:08:42,1
